"ensembl_id","mean_counts_SOD1_A4V_.","mean_counts_SOD1_._.","hgnc_symbol"
"ENSG00000112237",308.2986984,467.0632722,"CCNC"
"ENSG00000112242",209.090904,223.8656048,"E2F3"
"ENSG00000112245",1931.64222,2136.070293,"PTP4A1"
"ENSG00000112246",60.55633983,17.93152306,"SIM1"
"ENSG00000112249",585.990479,562.2364998,"ASCC3"
"ENSG00000112276",44.61760407,24.14956333,"BVES"
"ENSG00000112280",10.60560146,3.695347296,"COL9A1"
"ENSG00000112282",495.2582784,340.6604983,"MED23"
"ENSG00000112290",655.3475687,560.9525918,"WASF1"
"ENSG00000112293",103.7756689,54.27517314,"GPLD1"
"ENSG00000112294",1410.764775,724.8486616,"ALDH5A1"
"ENSG00000112297",35.67290309,19.63077869,"CRYBG1"
"ENSG00000112304",188.4049521,225.4891184,"ACOT13"
"ENSG00000112305",128.77778,186.9210848,"SMAP1"
"ENSG00000112306",2011.776799,3539.142822,"RPS12"
"ENSG00000112308",1498.141918,1440.54507,"C6orf62"
"ENSG00000112309",32.97054728,36.90004387,"B3GAT2"
"ENSG00000112312",48.74989839,56.48581929,"GMNN"
"ENSG00000112319",217.0077198,111.8418434,"EYA4"
"ENSG00000112320",556.2539254,524.7276988,"SOBP"
"ENSG00000112335",827.0910991,1006.85411,"SNX3"
"ENSG00000112339",362.6869303,377.239585,"HBS1L"
"ENSG00000112357",37.87714806,40.32870114,"PEX7"
"ENSG00000112365",87.56073755,61.91034674,"ZBTB24"
"ENSG00000112367",397.2106138,455.9642115,"FIG4"
"ENSG00000112378",302.5100269,297.3710308,"PERP"
"ENSG00000112379",697.6829637,325.5743266,"ARFGEF3"
"ENSG00000112394",8.82789002,14.78402414,"SLC16A10"
"ENSG00000112406",179.877738,126.4005101,"HECA"
"ENSG00000112414",45.83201414,8.456071669,"ADGRG6"
"ENSG00000112419",175.8939181,65.86775471,"PHACTR2"
"ENSG00000112425",85.88626698,64.21259245,"EPM2A"
"ENSG00000112473",1373.107949,1327.402011,"SLC39A7"
